Name,comid,gnis_id,Lat,Long
Milton Seaman Reservoir,2897135,198441,40.70771,-105.233563
Halligan Reservoir,2896951,170127,40.881657,-105.347034
Peterson Lake,2897377,177274,40.557169,-105.790566
Barnes Meadow Reservoir,2897339,177279,40.599405,-105.831733
Long Draw Reservoir,167246041,202444,40.501331,-105.773218
Chambers Lake,2897311,177278,40.60352,-105.84535
Joe Wright Reservoir,2897379,177277,40.555842,-105.87396
Horsetooth Reservoir,2897349,-99,40.5600515,-105.1582534
